phantom,thickness,kvp_pair,noise_level,radius,pair_index,rmse_rel_rho,rmse_rel_z,selected_file,n_materials
Body-Abdomen,1,70-140,0.1,1.0,6,0.026907068021822814,0.20823977791509646,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,80-100,0.1,1.0,9,0.16874926745111019,0.20823978779240443,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,80-120,0.1,1.0,8,0.09570891650407863,0.20823978188180853,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,80-140,0.1,1.0,6,0.042928700765068696,0.2082397809829985,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1.5,70-100,0.01,0.25,2,0.10647215772102392,0.20823978211420482,results/Saito/Saito-Body-1.5/saito_comparison_0.25_2025_08_08-16_28_11.json,9
Body-Abdomen,1.5,70-120,0.01,0.25,9,0.07235198407088535,0.2082397848777076,results/Saito/Saito-Body-1.5/saito_comparison_0.25_2025_08_08-16_28_11.json,9
Body-Abdomen,1.5,70-140,0.01,0.25,9,0.05508564607858776,0.20823978193746293,results/Saito/Saito-Body-1.5/saito_comparison_0.25_2025_08_08-16_28_11.json,9
Body-Abdomen,1.5,80-100,0.01,0.25,0,0.15572903129050206,0.20823978800353504,results/Saito/Saito-Body-1.5/saito_comparison_0.25_2025_08_08-16_28_11.json,9
Body-Abdomen,1.5,80-120,0.01,0.25,9,0.05325359179075742,0.20823977839936555,results/Saito/Saito-Body-1.5/saito_comparison_0.25_2025_08_08-16_28_11.json,9
Body-Abdomen,1.5,80-140,0.01,0.25,7,0.03911571510233355,0.20823978375358893,results/Saito/Saito-Body-1.5/saito_comparison_0.25_2025_08_08-16_28_11.json,9
Body-Abdomen,1.5,70-100,0.05,0.25,0,0.11001442505656876,0.20823978190890902,results/Saito/Saito-Body-1.5/saito_comparison_0.25_2025_08_08-16_28_11.json,9
Body-Abdomen,1.5,70-120,0.05,0.25,6,0.1594940404807315,0.20823977446772182,results/Saito/Saito-Body-1.5/saito_comparison_0.25_2025_08_08-16_28_11.json,9
Body-Abdomen,1.5,70-140,0.05,0.25,7,0.07555499916440614,0.20823978490889883,results/Saito/Saito-Body-1.5/saito_comparison_0.25_2025_08_08-16_28_11.json,9
Body-Abdomen,1.5,80-100,0.05,0.25,2,0.1354047845702569,0.2082397745753513,results/Saito/Saito-Body-1.5/saito_comparison_0.25_2025_08_08-16_28_11.json,9
Body-Abdomen,1.5,80-120,0.05,0.25,6,0.15787909527591754,0.20823977958677278,results/Saito/Saito-Body-1.5/saito_comparison_0.25_2025_08_08-16_28_11.json,9
Body-Abdomen,1.5,80-140,0.05,0.25,7,0.05890397911012777,0.2082397812692753,results/Saito/Saito-Body-1.5/saito_comparison_0.25_2025_08_08-16_28_11.json,9
Body-Abdomen,1.5,70-100,0.1,0.25,2,0.16984239129032758,0.20823977998249463,results/Saito/Saito-Body-1.5/saito_comparison_0.25_2025_08_08-16_28_11.json,9
Body-Abdomen,1.5,70-120,0.1,0.25,5,0.1071826932328868,0.2082397860462739,results/Saito/Saito-Body-1.5/saito_comparison_0.25_2025_08_08-16_28_11.json,9
